batcod	cod_variable	values
17817	alcofi	2348.742908
17817	alcova	2074.304787
17817	carbur	9636.103608
17817	coslav	23245.05571
17817	proflor	44080.99796
17817	spcom	732.95613
17817	spmanu	1849.8389
17820	alcofi	2234.701417
17820	alcova	2481.65745
17820	carbur	11395.00997
17820	coslav	25217.90736
17820	proflor	22541.38388
17820	spcom	810.9933234
17820	spmanu	2243.346605
17823	alcofi	2236.320331
17823	alcova	2475.865298
17823	carbur	11370.02727
17823	coslav	25189.87753
17823	proflor	32937.25141
17823	spcom	809.8853314
17823	spmanu	2237.772823
17858	alcofi	2305.5088
17858	alcova	2228.569196
17858	carbur	10302.67897
17858	coslav	23992.56336
17858	proflor	24456.91096
17858	spcom	762.5373507
17858	spmanu	1999.231364
17834	alcofi	2816.198678
17834	alcova	1844.182004
17834	carbur	12263.83675
17834	coslav	30842.40221
17834	proflor	33305.54862
17834	spcom	779.173981
17834	spmanu	2328.657766
17835	alcofi	2890.852509
17835	alcova	1890.604139
17835	carbur	9481.870151
17835	coslav	28235.18347
17835	proflor	40170.52907
17835	spcom	606.7045531
17835	spmanu	2327.256114
17838	alcofi	2879.049399
17838	alcova	1883.257454
17838	carbur	9921.958201
17838	coslav	28647.67459
17838	proflor	36259.59086
17838	spcom	633.9916205
17838	spmanu	2327.477879
17840	alcofi	2895.527713
17840	alcova	1893.515024
17840	carbur	9307.521792
17840	coslav	28071.76251
17840	proflor	35907.61082
17840	spcom	595.8938678
17840	spmanu	2327.168274
17808	alcofi	32571.38054
17808	alcova	32211.84421
17808	carbur	29282.62869
17808	coslav	107130.1829
17808	proflor	-80736.38051
17808	spcom	7300.104679
17808	spmanu	51556.23953
17929	alcofi	0
17929	alcova	0
17929	carbur	0
17929	coslav	0
17929	proflor	0
17929	spcom	0
17929	spmanu	0
17852	alcofi	19432.21341
17852	alcova	30817.91427
17852	carbur	30970.00433
17852	coslav	70814.62897
17852	proflor	67502.82023
17852	spcom	7414.480519
17852	spmanu	30492.93829
17853	alcofi	19457.80979
17853	alcova	30594.89088
17853	carbur	26789.20452
17853	coslav	64029.51792
17853	proflor	34483.03391
17853	spcom	7247.230033
17853	spmanu	26985.31295
18109	alcofi	19415.28168
18109	alcova	30965.39359
18109	carbur	33736.31579
18109	coslav	75299.58356
18109	proflor	-48543.01893
18109	spcom	7525.109829
18109	spmanu	32812.33448
18189	alcofi	19466.30289
18189	alcova	30521.00469
18189	carbur	25400.20796
18189	coslav	61786.16389
18189	proflor	147744.0746
18189	spcom	7191.747225
18189	spmanu	25823.49878
18717	alcofi	19357.52836
18717	alcova	31468.88811
18717	carbur	43165.18205
18717	coslav	90627.84182
18717	proflor	89830.41996
18717	spcom	7902.509818
18717	spmanu	40731.62989
18792	alcofi	19462.55654
18792	alcova	30553.57999
18792	carbur	26013.1627
18792	coslav	62774.54212
18792	proflor	178703.256
18792	spcom	7216.219293
18792	spmanu	26335.68336
17644	alcofi	0
17644	alcova	0
17644	carbur	0
17644	coslav	0
