strato	lft	batcod	eti	pr_i	peso_i
6	12.33	17820	21	0.043863394	22.79805353
6	12.35	17823	22	0.043934543	22.7611336
6	13.35	17858	39	0.047491996	21.05617978
6	14.18	17817	49	0.050444682	19.82369535
7	12.73	17834	12	0.18592763	5.378436764
7	14.47	17838	16	0.211341147	4.731686247
7	14.96	17835	17	0.218497827	4.576704545
7	15.18	17840	18	0.221711031	4.510375494
18	22.92	17808	4	0.352832512	2.834205934
18	22.97	17929	5	0.353602217	2.828036569
19	25.04	18717	3	0.293615275	3.405817359
19	26.73	18109	10	0.313431961	3.190485098
19	27.34	17852	14	0.320584729	3.119300171
19	28.18	17853	15	0.330434443	3.026318902
19	28.4	18792	17	0.33301413	3.002875587
19	28.62	18189	18	0.335593817	2.979792686
22	4	18442	7	0.045876821	21.7975
22	4.21	17837	20	0.048285354	20.71021378
22	5.2	17644	125	0.059639867	16.76730769
22	5.4	18392	145	0.061933708	16.1462963
22	5.59	17645	163	0.064112857	15.59749553
22	5.7	17830	172	0.06537447	15.29649123
22	5.75	18443	176	0.06594793	15.16347826
22	5.78	18784	180	0.066292006	15.08477509
22	5.85	18568	190	0.06709485	14.9042735
22	5.95	17815	198	0.068241771	14.65378151
22	5.95	18678	200	0.068241771	14.65378151
22	5.97	18569	203	0.068471155	14.60469012
25	6	18330	2	0.083783281	11.93555556
25	6.06	18648	19	0.084621113	11.81738174
25	6.06	18822	24	0.084621113	11.81738174
25	6.1	18595	28	0.085179669	11.73989071
25	6.13	18524	32	0.085598585	11.68243611
25	6.25	17819	38	0.087274251	11.45813333
25	7.06	18529	86	0.098584993	10.14353163
25	7.15	17826	89	0.099841743	10.01585082
25	7.8	17828	103	0.108918265	9.181196581
25	8	18833	107	0.111711041	8.951666667
25	8.14	17829	109	0.113665984	8.797706798
25	8.7	18778	116	0.121485757	8.231417625
40	13.03	17857	10	0.232437832	4.302225633
40	14.28	17692	13	0.254736166	3.925630252
40	14.87	18728	17	0.26526098	3.769872226
40	14.92	18367	18	0.266152913	3.757238606
40	14.92	18804	19	0.266152913	3.757238606
41	15.16	18702	2	0.374030735	2.673577083
41	15.75	17809	5	0.38858734	2.573424036
41	16.23	18380	6	0.400430001	2.497315377
41	16.31	18689	7	0.402403778	2.485066129
41	17.52	17850	12	0.432257155	2.313437704
41	17.58	18571	13	0.433737488	2.305542012
41	17.87	18366	15	0.440892429	2.268126949
43	18.07	17949	2	0.35423655	2.822972391
43	18.48	17827	5	0.362274014	2.76034151
43	19.33	17812	9	0.378937051	2.63896074
43	19.37	17825	10	0.379721194	2.633511157
43	20.15	17469	14	0.39501198	2.53156879
43	20.26	17831	15	0.397168373	2.517823846
43	20.5	17818	17	0.40187323	2.488346883
43	20.53	18626	18	0.402461337	2.484710721
43	20.62	17806	20	0.404225659	2.473865718
43	20.62	17807	21	0.404225659	2.473865718
43	21.38	17805	28	0.419124374	2.385926619
43	21.86	17821	31	0.428534088	2.333536647
43	21.9	18025	32	0.429318231	2.32927448
43	22.2	18573	34	0.435199303	2.297797798
43	22.56	17583	37	0.442256589	2.261130812
43	22.9	17816	39	0.448921804	2.227559437
43	23.08	17321	40	0.452450447	2.21018679
43	23.09	18669	41	0.452646482	2.209229585
44	24.04	18244	1	0.397158434	2.517886855
44	24.07	17810	3	0.397654056	2.51474865
44	24.5	18345	4	0.404757971	2.470612245
44	25.82	17661	8	0.42656534	2.344306739
44	25.85	18253	9	0.427060962	2.341586074
44	27.97	18665	13	0.462084917	2.164104398
72	5.01	17610	55	0.064059049	15.61059699
72	5.1	18481	63	0.065209811	15.33511586
72	5.29	17428	78	0.067639196	14.7843272
72	5.3	18470	80	0.067767058	14.75643225
72	5.57	18574	105	0.071219342	14.04112943
72	5.63	18471	116	0.071986516	13.89149039
72	5.77	18480	132	0.07377659	13.55443517
72	5.82	17440	139	0.074415901	13.43798813
72	5.85	18472	142	0.074799489	13.36907537
72	5.9	17441	149	0.0754388	13.25577812
72	5.96	18468	163	0.076205975	13.12233069
75	6.13	18469	13	0.059198895	16.8922073
75	6.48	18466	40	0.062578929	15.97981956
75	6.54	17422	48	0.063158364	15.83321571
75	6.86	17427	79	0.066248681	15.09464005
75	6.93	18473	83	0.066924688	14.94216894
75	7.09	17438	94	0.068469847	14.60496908
